                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5413,                 0.9718,                 1.1004,                0.95604,                0.94445,                 0.9678,                 0.4296,                 2.0094,                 0.8815,                 1.3212,               0.006634,               0.006634,               0.006634
                     36,                 1.5331,                0.96449,                  1.095,                0.95712,                0.94636,                0.96952,                0.43615,                 1.9796,                0.87022,                 1.3078,               0.006535,               0.006535,               0.006535
                     37,                 1.5378,                0.97521,                  1.101,                0.95925,                0.95326,                0.97388,                0.46699,                 1.8438,                0.87711,                 1.2511,               0.006436,               0.006436,               0.006436
                     38,                 1.5347,                0.96556,                 1.0957,                0.95997,                0.95211,                0.97347,                0.46133,                 1.8734,                0.87107,                 1.2615,               0.006337,               0.006337,               0.006337
                     39,                 1.5261,                0.95437,                 1.0939,                0.95941,                  0.952,                0.97202,                0.44294,                  1.976,                0.85348,                 1.3092,               0.006238,               0.006238,               0.006238
                     40,                 1.5203,                0.95711,                 1.0891,                0.95915,                0.95089,                0.97211,                0.45242,                 1.9269,                0.87211,                 1.2849,               0.006139,               0.006139,               0.006139
                     41,                 1.5189,                0.95695,                 1.0883,                0.95994,                0.95098,                0.97168,                0.44317,                 1.9694,                0.86328,                 1.3039,                0.00604,                0.00604,                0.00604
                     42,                 1.5179,                0.95456,                   1.09,                0.96083,                0.95255,                0.97413,                 0.4457,                 1.9676,                0.85136,                 1.3014,               0.005941,               0.005941,               0.005941
                     43,                 1.5069,                0.94749,                 1.0863,                0.96283,                0.95819,                0.97523,                0.47875,                 1.8165,                0.85041,                 1.2405,               0.005842,               0.005842,               0.005842
                     44,                  1.515,                 0.9492,                 1.0893,                0.96247,                0.95774,                0.97495,                0.46924,                 1.8663,                0.84186,                   1.26,               0.005743,               0.005743,               0.005743
                     45,                 1.5184,                0.94794,                 1.0912,                0.96352,                0.95987,                0.97504,                0.46344,                  1.891,                0.84112,                 1.2687,               0.005644,               0.005644,               0.005644
                     46,                 1.5057,                0.93585,                  1.086,                0.96331,                0.96118,                 0.9757,                0.46341,                 1.8964,                0.83624,                 1.2708,               0.005545,               0.005545,               0.005545
                     47,                 1.5037,                0.93741,                 1.0841,                0.96333,                0.96097,                0.97612,                0.45858,                 1.9145,                0.83728,                 1.2796,               0.005446,               0.005446,               0.005446
                     48,                 1.5005,                0.94358,                 1.0829,                 0.9635,                0.96074,                0.97618,                0.46666,                  1.881,                0.83085,                 1.2676,               0.005347,               0.005347,               0.005347
                     49,                  1.497,                0.93377,                 1.0824,                0.96356,                0.95665,                0.97535,                0.45715,                 1.9292,                 0.8263,                 1.2859,               0.005248,               0.005248,               0.005248
                     50,                 1.4971,                 0.9395,                 1.0847,                0.96644,                0.95941,                0.97801,                0.47275,                 1.8525,                0.82532,                 1.2518,               0.005149,               0.005149,               0.005149
                     51,                  1.484,                0.91365,                 1.0801,                0.96582,                 0.9609,                0.97728,                0.46849,                 1.8738,                0.82384,                 1.2617,                0.00505,                0.00505,                0.00505
                     52,                 1.4835,                0.92045,                 1.0799,                0.96339,                0.95968,                0.97679,                0.46592,                 1.8945,                0.81993,                 1.2706,               0.004951,               0.004951,               0.004951
                     53,                  1.485,                 0.9288,                 1.0806,                0.96643,                0.96185,                0.97832,                0.46528,                 1.8972,                0.81976,                 1.2699,               0.004852,               0.004852,               0.004852
                     54,                 1.4777,                0.91798,                 1.0779,                0.96479,                0.96031,                0.97777,                0.46617,                 1.8964,                 0.8184,                 1.2711,               0.004753,               0.004753,               0.004753
                     55,                  1.478,                0.91856,                 1.0766,                0.96479,                0.96156,                0.97802,                0.46588,                 1.9017,                0.81898,                 1.2743,               0.004654,               0.004654,               0.004654
                     56,                 1.4809,                0.90991,                 1.0755,                0.96575,                0.96251,                0.97756,                0.46034,                 1.9334,                0.81402,                 1.2884,               0.004555,               0.004555,               0.004555
                     57,                 1.4738,                 0.9084,                 1.0778,                0.96477,                0.96324,                0.97791,                0.45935,                 1.9343,                0.81253,                 1.2883,               0.004456,               0.004456,               0.004456
                     58,                 1.4679,                 0.9082,                 1.0711,                 0.9652,                0.96243,                0.97768,                0.46146,                 1.9197,                0.81278,                 1.2814,               0.004357,               0.004357,               0.004357
                     59,                 1.4616,                 0.9035,                 1.0733,                0.96696,                0.96443,                0.97904,                0.46822,                 1.8895,                0.81037,                 1.2683,               0.004258,               0.004258,               0.004258
                     60,                 1.4618,                0.91242,                 1.0738,                0.96789,                0.96507,                 0.9792,                0.47313,                 1.8674,                0.80969,                 1.2589,               0.004159,               0.004159,               0.004159
                     61,                 1.4606,                0.90154,                 1.0698,                0.96912,                 0.9661,                0.97951,                0.47381,                 1.8626,                0.80879,                 1.2569,                0.00406,                0.00406,                0.00406
                     62,                 1.4587,                0.89706,                 1.0724,                0.96967,                0.96695,                 0.9801,                0.47265,                 1.8708,                0.80455,                 1.2605,               0.003961,               0.003961,               0.003961
                     63,                 1.4573,                0.90028,                 1.0696,                0.97062,                0.96783,                0.98061,                0.47303,                 1.8714,                0.80312,                 1.2604,               0.003862,               0.003862,               0.003862
                     64,                 1.4552,                0.89504,                 1.0712,                0.97099,                0.96798,                0.98106,                 0.4715,                 1.8811,                0.80152,                 1.2644,               0.003763,               0.003763,               0.003763
                     65,                 1.4581,                0.89556,                 1.0719,                 0.9707,                0.96888,                0.98076,                0.47068,                 1.8855,                0.80004,                 1.2664,               0.003664,               0.003664,               0.003664
                     66,                 1.4528,                0.89979,                   1.07,                0.97092,                0.96844,                0.98117,                0.47215,                 1.8837,                0.79835,                 1.2654,               0.003565,               0.003565,               0.003565
                     67,                 1.4479,                0.89255,                 1.0673,                 0.9698,                0.96822,                0.98106,                 0.4728,                  1.882,                0.79624,                 1.2645,               0.003466,               0.003466,               0.003466
                     68,                 1.4484,                0.88248,                 1.0666,                0.97014,                 0.9682,                0.98086,                0.47272,                 1.8825,                0.79392,                 1.2651,               0.003367,               0.003367,               0.003367
                     69,                  1.441,                0.87589,                 1.0631,                0.97045,                0.96829,                0.98097,                0.47246,                 1.8867,                0.79119,                 1.2668,               0.003268,               0.003268,               0.003268
                     70,                 1.4467,                0.87622,                 1.0665,                 0.9711,                 0.9688,                0.98149,                 0.4725,                 1.8878,                0.78858,                 1.2673,               0.003169,               0.003169,               0.003169
                     71,                 1.4392,                0.88544,                 1.0657,                0.97145,                0.96946,                0.98205,                0.47285,                 1.8873,                 0.7876,                 1.2665,                0.00307,                0.00307,                0.00307
                     72,                 1.4389,                0.86336,                 1.0648,                0.97168,                0.96998,                0.98238,                0.47163,                 1.8947,                0.78503,                 1.2698,               0.002971,               0.002971,               0.002971
                     73,                 1.4353,                0.86561,                 1.0627,                0.97161,                 0.9699,                0.98207,                0.47173,                 1.8959,                0.78311,                 1.2703,               0.002872,               0.002872,               0.002872
                     74,                 1.4309,                0.86554,                 1.0641,                 0.9711,                0.96959,                0.98179,                0.47169,                 1.8981,                0.78132,                 1.2714,               0.002773,               0.002773,               0.002773
                     75,                 1.4231,                0.86974,                 1.0603,                0.97088,                0.96932,                0.98154,                0.47079,                 1.9048,                0.78014,                 1.2744,               0.002674,               0.002674,               0.002674
                     76,                 1.4247,                0.85558,                 1.0624,                0.97118,                0.96963,                0.98176,                0.47199,                  1.902,                0.77871,                 1.2732,               0.002575,               0.002575,               0.002575
